year,month,age,usertype,Trips,Avgtripdur
2018,Feb,55,Customer,29,25.80057471
2018,Feb,55,Subscriber,12260,11.56449973
2018,Feb,56,Customer,131,12.85814249
2018,Feb,56,Subscriber,12443,11.82304375
2018,Feb,57,Customer,44,46.31212121
2018,Feb,57,Subscriber,10248,12.44697665
2018,Feb,58,Customer,31,23.43602151
2018,Feb,58,Subscriber,11555,11.95461561
2018,Feb,59,Customer,28,32.36488095
2018,Feb,59,Subscriber,9591,11.72289994
2018,Feb,60,Customer,41,21.95243902
2018,Feb,60,Subscriber,8540,12.22037861
2018,Feb,61,Customer,56,22.00982143
2018,Feb,61,Subscriber,7688,12.78502862
2018,Feb,62,Customer,7,15.99285714
2018,Feb,62,Subscriber,6898,12.62520054
2018,Feb,63,Customer,24,23.02430556
2018,Feb,63,Subscriber,5386,13.02758695
2018,Feb,64,Customer,7,25.55952381
2018,Feb,64,Subscriber,5303,11.79993714
2018,Feb,65,Customer,4,34.54583333
2018,Feb,65,Subscriber,4349,11.97551161
2018,Feb,66,Customer,10,21.85666667
2018,Feb,66,Subscriber,3084,12.19689797
2018,Feb,67,Customer,1,29.18333333
2018,Feb,67,Subscriber,2815,12.98978686
2018,Feb,68,Customer,28,31.6297619
2018,Feb,68,Subscriber,2204,12.23534483
2018,Feb,69,Subscriber,1657,11.72243009
2018,Feb,70,Subscriber,1530,13.33162309
2018,Feb,71,Subscriber,1416,12.47617702
2018,Feb,72,Customer,2,29.55833333
2018,Feb,72,Subscriber,1300,11.77808974
2018,Feb,73,Customer,2,27.18333333
2018,Feb,73,Subscriber,606,10.77043454
2018,Feb,74,Customer,24,19.56736111
2018,Feb,74,Subscriber,521,10.3765515
2018,Feb,75,Subscriber,529,14.84678639
2018,Feb,76,Customer,2,17.93333333
2018,Feb,76,Subscriber,661,11.19833585
2018,Feb,77,Subscriber,407,10.98419328
2018,Feb,78,Subscriber,225,9.883407407
2018,Feb,79,Subscriber,94,13.30691489
2018,Feb,80,Subscriber,92,10.13369565
2018,Feb,81,Subscriber,235,10.6564539
2018,Feb,82,Subscriber,45,10.30851852
2018,Feb,83,Subscriber,17,11.02745098
