year,month,starthour,season,weekday,trips
2018,Mar,07,Spring,Saturday,2228
2018,Mar,07,Spring,Sunday,1273
2018,Mar,07,Spring,Thursday,9595
2018,Mar,07,Spring,Tuesday,8367
2018,Mar,07,Spring,Wednesday,5934
2018,Mar,08,Spring,Friday,14968
2018,Mar,08,Spring,Monday,16091
2018,Mar,08,Spring,Saturday,4452
2018,Mar,08,Spring,Sunday,2541
2018,Mar,08,Spring,Thursday,17656
2018,Mar,08,Spring,Tuesday,15615
2018,Mar,08,Spring,Wednesday,11152
2018,Mar,09,Spring,Friday,11926
2018,Mar,09,Spring,Monday,11058
2018,Mar,09,Spring,Saturday,7260
2018,Mar,09,Spring,Sunday,4313
2018,Mar,09,Spring,Thursday,12354
2018,Mar,09,Spring,Tuesday,10756
2018,Mar,09,Spring,Wednesday,7595
2018,Mar,10,Spring,Friday,6874
2018,Mar,10,Spring,Monday,5720
2018,Mar,10,Spring,Saturday,9706
2018,Mar,10,Spring,Sunday,6100
2018,Mar,10,Spring,Thursday,6687
2018,Mar,10,Spring,Tuesday,5434
2018,Mar,10,Spring,Wednesday,3863
2018,Mar,11,Spring,Friday,6836
2018,Mar,11,Spring,Monday,5256
2018,Mar,11,Spring,Saturday,12184
2018,Mar,11,Spring,Sunday,7609
2018,Mar,11,Spring,Thursday,6605
2018,Mar,11,Spring,Tuesday,4924
2018,Mar,11,Spring,Wednesday,3448
2018,Mar,12,Spring,Friday,7963
2018,Mar,12,Spring,Monday,6531
2018,Mar,12,Spring,Saturday,13947
2018,Mar,12,Spring,Sunday,8709
2018,Mar,12,Spring,Thursday,8111
2018,Mar,12,Spring,Tuesday,5734
2018,Mar,12,Spring,Wednesday,4015
2018,Mar,13,Spring,Friday,8273
2018,Mar,13,Spring,Monday,6656
2018,Mar,13,Spring,Saturday,14633
2018,Mar,13,Spring,Sunday,9124
2018,Mar,13,Spring,Thursday,8477
2018,Mar,13,Spring,Tuesday,6045
2018,Mar,13,Spring,Wednesday,3758
2018,Mar,14,Spring,Friday,9122
2018,Mar,14,Spring,Monday,7058
2018,Mar,14,Spring,Saturday,14776
2018,Mar,14,Spring,Sunday,9028
2018,Mar,14,Spring,Thursday,9170
2018,Mar,14,Spring,Tuesday,6518
2018,Mar,14,Spring,Wednesday,3884
2018,Mar,15,Spring,Friday,9692
2018,Mar,15,Spring,Monday,7826
2018,Mar,15,Spring,Saturday,14690
2018,Mar,15,Spring,Sunday,9234
2018,Mar,15,Spring,Thursday,10106
2018,Mar,15,Spring,Tuesday,7350
2018,Mar,15,Spring,Wednesday,4260
2018,Mar,16,Spring,Friday,10081
2018,Mar,16,Spring,Monday,10271
2018,Mar,16,Spring,Saturday,13950
2018,Mar,16,Spring,Sunday,9275
2018,Mar,16,Spring,Thursday,13080
2018,Mar,16,Spring,Tuesday,9482
2018,Mar,16,Spring,Wednesday,5244
2018,Mar,17,Spring,Friday,13812
2018,Mar,17,Spring,Monday,17246
2018,Mar,17,Spring,Saturday,12300
2018,Mar,17,Spring,Sunday,8765
2018,Mar,17,Spring,Thursday,20535
2018,Mar,17,Spring,Tuesday,15364
2018,Mar,17,Spring,Wednesday,8715
2018,Mar,18,Spring,Friday,12418
2018,Mar,18,Spring,Monday,17143
2018,Mar,18,Spring,Saturday,10300
2018,Mar,18,Spring,Sunday,7760
2018,Mar,18,Spring,Thursday,19902
2018,Mar,18,Spring,Tuesday,15365
2018,Mar,18,Spring,Wednesday,8631
2018,Mar,19,Spring,Friday,8505
2018,Mar,19,Spring,Monday,10764
2018,Mar,19,Spring,Saturday,7690
2018,Mar,19,Spring,Sunday,5571
2018,Mar,19,Spring,Thursday,12496
2018,Mar,19,Spring,Tuesday,9864
2018,Mar,19,Spring,Wednesday,5417
2018,Mar,20,Spring,Friday,5387
2018,Mar,20,Spring,Monday,6697
2018,Mar,20,Spring,Saturday,4971
2018,Mar,20,Spring,Sunday,3738
2018,Mar,20,Spring,Thursday,7518
2018,Mar,20,Spring,Tuesday,6386
2018,Mar,20,Spring,Wednesday,3390
2018,Mar,21,Spring,Friday,3827
2018,Mar,21,Spring,Monday,4304
2018,Mar,21,Spring,Saturday,3809
2018,Mar,21,Spring,Sunday,2807
2018,Mar,21,Spring,Thursday,4697
2018,Mar,21,Spring,Tuesday,4384
2018,Mar,21,Spring,Wednesday,2340
2018,Mar,22,Spring,Friday,3001
2018,Mar,22,Spring,Monday,2618
2018,Mar,22,Spring,Saturday,3144
2018,Mar,22,Spring,Sunday,1998
2018,Mar,22,Spring,Thursday,3455
2018,Mar,22,Spring,Tuesday,2873
2018,Mar,22,Spring,Wednesday,1721
2018,Mar,23,Spring,Friday,2352
2018,Mar,23,Spring,Monday,1365
2018,Mar,23,Spring,Saturday,2595
2018,Mar,23,Spring,Sunday,1267
2018,Mar,23,Spring,Thursday,2119
2018,Mar,23,Spring,Tuesday,1610
2018,Mar,23,Spring,Wednesday,996
2018,Apr,00,Spring,Friday,1563
2018,Apr,00,Spring,Monday,886
2018,Apr,00,Spring,Saturday,2404
2018,Apr,00,Spring,Sunday,2146
2018,Apr,00,Spring,Thursday,983
2018,Apr,00,Spring,Tuesday,923
2018,Apr,00,Spring,Wednesday,823
2018,Apr,01,Spring,Friday,809
2018,Apr,01,Spring,Monday,452
2018,Apr,01,Spring,Saturday,1509
2018,Apr,01,Spring,Sunday,1427
2018,Apr,01,Spring,Thursday,448
2018,Apr,01,Spring,Tuesday,481
2018,Apr,01,Spring,Wednesday,361
2018,Apr,02,Spring,Friday,408
2018,Apr,02,Spring,Monday,238
2018,Apr,02,Spring,Saturday,864
2018,Apr,02,Spring,Sunday,789
2018,Apr,02,Spring,Thursday,296
2018,Apr,02,Spring,Tuesday,251
2018,Apr,02,Spring,Wednesday,255
2018,Apr,03,Spring,Friday,245
2018,Apr,03,Spring,Monday,131
2018,Apr,03,Spring,Saturday,474
2018,Apr,03,Spring,Sunday,506
2018,Apr,03,Spring,Thursday,171
2018,Apr,03,Spring,Tuesday,150
2018,Apr,03,Spring,Wednesday,133
2018,Apr,04,Spring,Friday,289
2018,Apr,04,Spring,Monday,219
2018,Apr,04,Spring,Saturday,343
2018,Apr,04,Spring,Sunday,346
2018,Apr,04,Spring,Thursday,226
2018,Apr,04,Spring,Tuesday,264
2018,Apr,04,Spring,Wednesday,194
2018,Apr,05,Spring,Friday,1435
2018,Apr,05,Spring,Monday,1276
2018,Apr,05,Spring,Saturday,377
2018,Apr,05,Spring,Sunday,274
2018,Apr,05,Spring,Thursday,1395
2018,Apr,05,Spring,Tuesday,1441
2018,Apr,05,Spring,Wednesday,1215
2018,Apr,06,Spring,Friday,4949
2018,Apr,06,Spring,Monday,4260
2018,Apr,06,Spring,Saturday,1146
2018,Apr,06,Spring,Sunday,688
2018,Apr,06,Spring,Thursday,4855
2018,Apr,06,Spring,Tuesday,5270
2018,Apr,06,Spring,Wednesday,3889
2018,Apr,07,Spring,Friday,10436
2018,Apr,07,Spring,Monday,9301
2018,Apr,07,Spring,Saturday,2799
2018,Apr,07,Spring,Sunday,2018
2018,Apr,07,Spring,Thursday,10725
2018,Apr,07,Spring,Tuesday,11205
2018,Apr,07,Spring,Wednesday,7997
2018,Apr,08,Spring,Friday,14409
2018,Apr,08,Spring,Monday,16083
2018,Apr,08,Spring,Saturday,5479
2018,Apr,08,Spring,Sunday,4318
2018,Apr,08,Spring,Thursday,20222
2018,Apr,08,Spring,Tuesday,19859
2018,Apr,08,Spring,Wednesday,14951
2018,Apr,09,Spring,Friday,10417
2018,Apr,09,Spring,Monday,11206
2018,Apr,09,Spring,Saturday,9185
2018,Apr,09,Spring,Sunday,7494
2018,Apr,09,Spring,Thursday,15030
2018,Apr,09,Spring,Tuesday,14237
2018,Apr,09,Spring,Wednesday,12380
2018,Apr,10,Spring,Friday,6671
2018,Apr,10,Spring,Monday,6286
2018,Apr,10,Spring,Saturday,12473
2018,Apr,10,Spring,Sunday,11238
2018,Apr,10,Spring,Thursday,8286
2018,Apr,10,Spring,Tuesday,7577
2018,Apr,10,Spring,Wednesday,6845
2018,Apr,11,Spring,Friday,6473
2018,Apr,11,Spring,Monday,6097
2018,Apr,11,Spring,Saturday,15932
2018,Apr,11,Spring,Sunday,14194
2018,Apr,11,Spring,Thursday,7469
2018,Apr,11,Spring,Tuesday,6450
2018,Apr,11,Spring,Wednesday,6330
2018,Apr,12,Spring,Friday,8576
2018,Apr,12,Spring,Monday,7811
2018,Apr,12,Spring,Saturday,19051
2018,Apr,12,Spring,Sunday,16479
2018,Apr,12,Spring,Thursday,8968
2018,Apr,12,Spring,Tuesday,6948
2018,Apr,12,Spring,Wednesday,7308
2018,Apr,13,Spring,Friday,9666
2018,Apr,13,Spring,Monday,8553
2018,Apr,13,Spring,Saturday,20598
2018,Apr,13,Spring,Sunday,17553
2018,Apr,13,Spring,Thursday,8570
2018,Apr,13,Spring,Tuesday,7079
2018,Apr,13,Spring,Wednesday,6545
2018,Apr,14,Spring,Friday,10594
2018,Apr,14,Spring,Monday,9413
2018,Apr,14,Spring,Saturday,21160
2018,Apr,14,Spring,Sunday,17875
2018,Apr,14,Spring,Thursday,8406
2018,Apr,14,Spring,Tuesday,7359
2018,Apr,14,Spring,Wednesday,7086
2018,Apr,15,Spring,Friday,11408
2018,Apr,15,Spring,Monday,10380
2018,Apr,15,Spring,Saturday,21058
2018,Apr,15,Spring,Sunday,17360
2018,Apr,15,Spring,Thursday,9680
2018,Apr,15,Spring,Tuesday,7942
2018,Apr,15,Spring,Wednesday,8154
2018,Apr,16,Spring,Friday,14907
2018,Apr,16,Spring,Monday,13489
2018,Apr,16,Spring,Saturday,20448
2018,Apr,16,Spring,Sunday,16922
2018,Apr,16,Spring,Thursday,12726
2018,Apr,16,Spring,Tuesday,10413
2018,Apr,16,Spring,Wednesday,10730
2018,Apr,17,Spring,Friday,21059
2018,Apr,17,Spring,Monday,21905
2018,Apr,17,Spring,Saturday,18382
2018,Apr,17,Spring,Sunday,14702
2018,Apr,17,Spring,Thursday,20940
2018,Apr,17,Spring,Tuesday,17419
2018,Apr,17,Spring,Wednesday,19230
2018,Apr,18,Spring,Friday,18484
2018,Apr,18,Spring,Monday,22191
2018,Apr,18,Spring,Saturday,15395
2018,Apr,18,Spring,Sunday,12107
2018,Apr,18,Spring,Thursday,21596
2018,Apr,18,Spring,Tuesday,17953
2018,Apr,18,Spring,Wednesday,19861
2018,Apr,19,Spring,Friday,12162
2018,Apr,19,Spring,Monday,14926
2018,Apr,19,Spring,Saturday,10702
2018,Apr,19,Spring,Sunday,8714
2018,Apr,19,Spring,Thursday,14226
2018,Apr,19,Spring,Tuesday,11657
2018,Apr,19,Spring,Wednesday,12819
2018,Apr,20,Spring,Friday,7376
2018,Apr,20,Spring,Monday,9590
2018,Apr,20,Spring,Saturday,6103
2018,Apr,20,Spring,Sunday,5465
2018,Apr,20,Spring,Thursday,8685
2018,Apr,20,Spring,Tuesday,7559
2018,Apr,20,Spring,Wednesday,8185
2018,Apr,21,Spring,Friday,5271
2018,Apr,21,Spring,Monday,6451
2018,Apr,21,Spring,Saturday,4351
2018,Apr,21,Spring,Sunday,3949
2018,Apr,21,Spring,Thursday,6128
2018,Apr,21,Spring,Tuesday,5064
2018,Apr,21,Spring,Wednesday,5719
2018,Apr,22,Spring,Friday,4321
2018,Apr,22,Spring,Monday,4122
2018,Apr,22,Spring,Saturday,3283
2018,Apr,22,Spring,Sunday,2759
2018,Apr,22,Spring,Thursday,4432
2018,Apr,22,Spring,Tuesday,3107
2018,Apr,22,Spring,Wednesday,4198
2018,Apr,23,Spring,Friday,3412
2018,Apr,23,Spring,Monday,2437
2018,Apr,23,Spring,Saturday,2670
2018,Apr,23,Spring,Sunday,1797
2018,Apr,23,Spring,Thursday,2894
