Número de registros,Número de registros por stations.json,Altitude,Available Bikes,Available Docks,City,Execution Time,Id,Land Mark,Last Communication Time,Latitude,Location,Longitude,Postal Code,stAddress1,stAddress2,stationBeanList Índice (generado),Station Name,Status Key,Status Value,Test Station,Total Docks,Índice Del Documento (Generado)
1,1,,1,41,,16/07/2019 14:13,3285,,16/07/2019 14:12,40.78839,,-73.9747,,W 87 St & Amsterdam Ave,,466,W 87 St & Amsterdam Ave,1,In Service,Falso,43,1
1,1,,0,39,,16/07/2019 14:13,3286,,16/07/2019 14:10,40.7806284,,-73.9521667,,E 89 St & 3 Ave,,467,E 89 St & 3 Ave,1,In Service,Falso,39,1
1,1,,6,32,,16/07/2019 14:13,3288,,16/07/2019 14:10,40.778301,,-73.9488134,,E 88 St & 1 Ave,,468,E 88 St & 1 Ave,1,In Service,Falso,39,1
1,1,,0,31,,16/07/2019 14:13,3289,,16/07/2019 14:12,40.79017948,,-73.97288919,,W 90 St & Amsterdam Ave,,469,W 90 St & Amsterdam Ave,1,In Service,Falso,32,1
1,1,,3,31,,16/07/2019 14:13,3290,,16/07/2019 14:09,40.7779453,,-73.946041,,E 89 St & York Ave,,470,E 89 St & York Ave,1,In Service,Falso,35,1
1,1,,3,40,,16/07/2019 14:13,3292,,16/07/2019 14:11,40.7857851,,-73.957481,,5 Ave & E 93 St,,471,5 Ave & E 93 St,1,In Service,Falso,43,1
1,1,,0,23,,16/07/2019 14:13,3293,,16/07/2019 14:12,40.7921,,-73.9739,,W 92 St & Broadway,,472,W 92 St & Broadway,1,In Service,Falso,24,1
1,1,,0,36,,16/07/2019 14:13,3294,,16/07/2019 14:11,40.7835016,,-73.955327,,E 91 St & Park Ave,,473,E 91 St & Park Ave,1,In Service,Falso,38,1
1,1,,1,57,,16/07/2019 14:13,3295,,16/07/2019 14:11,40.79127,,-73.964839,,Central Park W & W 96 St,,474,Central Park W & W 96 St,1,In Service,Falso,59,1
1,1,,9,33,,16/07/2019 14:13,3296,,16/07/2019 14:09,40.78245418,,-73.94891962,,E 93 St & 2 Ave,,475,E 93 St & 2 Ave,1,In Service,Falso,42,1
1,1,,0,21,,16/07/2019 14:13,3297,,16/07/2019 14:09,40.6686627,,-73.97988067,,6 St & 7 Ave,,476,6 St & 7 Ave,1,In Service,Falso,21,1
1,1,,20,2,,16/07/2019 14:13,3298,,16/07/2019 14:11,40.686371,,-73.99383324,,Warren St & Court St,,477,Warren St & Court St,1,In Service,Falso,23,1
1,1,,4,20,,16/07/2019 14:13,3299,,16/07/2019 14:11,40.78813,,-73.95206,,E 98 St & Park Ave,,478,E 98 St & Park Ave,1,In Service,Falso,25,1
1,1,,0,25,,16/07/2019 14:13,3300,,16/07/2019 14:10,40.66514682,,-73.97637606,,Prospect Park West & 8 St,,479,Prospect Park West & 8 St,1,In Service,Falso,25,1
1,1,,3,36,,16/07/2019 14:13,3301,,16/07/2019 14:11,40.7919557,,-73.968087,,Columbus Ave & W 95 St,,480,Columbus Ave & W 95 St,1,In Service,Falso,39,1
1,1,,0,21,,16/07/2019 14:13,3302,,16/07/2019 14:09,40.7969347,,-73.96434123,,Columbus Ave & W 103 St,,481,Columbus Ave & W 103 St,1,In Service,Falso,22,1
1,1,,17,8,,16/07/2019 14:13,3303,,16/07/2019 14:09,40.6849894,,-73.99440329,,Butler St & Court St,,482,Butler St & Court St,1,In Service,Falso,25,1
1,1,,1,26,,16/07/2019 14:13,3304,,16/07/2019 14:11,40.668127,,-73.98377641,,6 Ave & 9 St,,483,6 Ave & 9 St,1,In Service,Falso,27,1
1,1,,0,39,,16/07/2019 14:13,3305,,16/07/2019 14:12,40.7811223,,-73.94965589,,E 91 St & 2 Ave,,484,E 91 St & 2 Ave,1,In Service,Falso,39,1
1,1,,1,22,,16/07/2019 14:13,3306,,16/07/2019 14:11,40.6662078,,-73.98199886,,10 St & 7 Ave,,485,10 St & 7 Ave,1,In Service,Falso,23,1
1,1,,1,28,,16/07/2019 14:13,3307,,16/07/2019 14:11,40.7941654,,-73.974124,,West End Ave & W 94 St,,486,West End Ave & W 94 St,1,In Service,Falso,31,1
1,1,,5,22,,16/07/2019 14:13,3308,,16/07/2019 14:10,40.6861758,,-73.99645295,,Kane St & Clinton St,,487,Kane St & Clinton St,1,In Service,Falso,27,1
1,1,,5,24,,16/07/2019 14:13,3309,,16/07/2019 14:13,40.7859201,,-73.94860294,,E 97 St & 3 Ave,,488,E 97 St & 3 Ave,1,In Service,Falso,30,1
1,1,,1,23,,16/07/2019 14:13,3310,,16/07/2019 14:11,40.663779,,-73.98396846,,14 St & 7 Ave,,489,14 St & 7 Ave,1,In Service,Falso,24,1
1,1,,15,5,,16/07/2019 14:13,3311,,16/07/2019 14:10,40.68763155,,-74.0016256,,Columbia St & Kane St,,490,Columbia St & Kane St,1,In Service,Falso,21,1
1,1,,30,9,,16/07/2019 14:13,3312,,16/07/2019 14:12,40.7817212,,-73.94594,,1 Ave & E 94 St,,491,1 Ave & E 94 St,1,In Service,Falso,39,1
1,1,,0,29,,16/07/2019 14:13,3313,,16/07/2019 14:11,40.6663181,,-73.9854617,,6 Ave & 12 St,,492,6 Ave & 12 St,1,In Service,Falso,29,1
1,1,,4,27,,16/07/2019 14:13,3314,,16/07/2019 14:11,40.7937704,,-73.971888,,W 95 St & Broadway,,493,W 95 St & Broadway,1,In Service,Falso,32,1
1,1,,2,20,,16/07/2019 14:13,3315,,16/07/2019 14:10,40.6847514,,-73.99917254,,Henry St & Degraw St,,494,Henry St & Degraw St,1,In Service,Falso,23,1
1,1,,8,16,,16/07/2019 14:13,3317,,16/07/2019 14:09,40.6686273,,-73.98700053,,10 St & 5 Ave,,495,10 St & 5 Ave,1,In Service,Falso,24,1
1,1,,21,18,,16/07/2019 14:13,3318,,16/07/2019 14:11,40.7839636,,-73.9471673,,2 Ave & E 96 St,,496,2 Ave & E 96 St,1,In Service,Falso,39,1
1,1,,8,13,,16/07/2019 14:13,3319,,16/07/2019 14:09,40.666287,,-73.98895053,,14 St & 5 Ave,,497,14 St & 5 Ave,1,In Service,Falso,21,1
1,1,,9,40,,16/07/2019 14:13,3320,,16/07/2019 14:10,40.79406661,,-73.96286845,,Central Park West & W 100 St,,498,Central Park West & W 100 St,1,In Service,Falso,49,1
